Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.5756783485412598
seq_to_seq,validate,3.632570505142212
seq_to_seq,test,3.6015639305114746
bepler,train,3.2628209590911865
bepler,validate,3.394225835800171
bepler,test,3.334347724914551
fasttext,train,3.2723019123077393
fasttext,validate,3.4338231086730957
fasttext,test,3.364727735519409
fft_alpha_structure,train,3.3408989906311035
fft_alpha_structure,validate,3.440845489501953
fft_alpha_structure,test,3.388731002807617
fft_betha_structure,train,3.295595645904541
fft_betha_structure,validate,3.453439474105835
fft_betha_structure,test,3.3823082447052
fft_energetic,train,3.2768807411193848
fft_energetic,validate,3.4698023796081543
fft_energetic,test,3.3932251930236816
fft_hydropathy,train,3.3337512016296387
fft_hydropathy,validate,3.438662052154541
fft_hydropathy,test,3.380401849746704
fft_hydrophobicity,train,3.366708755493164
fft_hydrophobicity,validate,3.4630579948425293
fft_hydrophobicity,test,3.4146642684936523
fft_index,train,3.3240582942962646
fft_index,validate,3.431497573852539
fft_index,test,3.378119945526123
fft_secondary_structure,train,3.355811357498169
fft_secondary_structure,validate,3.443448066711426
fft_secondary_structure,test,3.3873674869537354
fft_volume,train,3.3372881412506104
fft_volume,validate,3.4347143173217773
fft_volume,test,3.3775479793548584
glove,train,3.327946901321411
glove,validate,3.4610886573791504
glove,test,3.3945505619049072
oneshot,train,3.2930757999420166
oneshot,validate,3.409594774246216
oneshot,test,3.353482246398926
physicochemical_alpha_structure,train,3.102827787399292
physicochemical_alpha_structure,validate,3.333630084991455
physicochemical_alpha_structure,test,3.277374505996704
physicochemical_betha_structure,train,2.749624490737915
physicochemical_betha_structure,validate,3.254542112350464
physicochemical_betha_structure,test,3.1754207611083984
physicochemical_energetic,train,2.8394322395324707
physicochemical_energetic,validate,3.2403104305267334
physicochemical_energetic,test,3.147416353225708
physicochemical_hydropathy,train,3.256288528442383
physicochemical_hydropathy,validate,3.4784982204437256
physicochemical_hydropathy,test,3.42617130279541
physicochemical_hydrophobocity,train,2.719322919845581
physicochemical_hydrophobocity,validate,3.3634111881256104
physicochemical_hydrophobocity,test,3.2529852390289307
physicochemical_index,train,3.032200813293457
physicochemical_index,validate,3.311028480529785
physicochemical_index,test,3.2416205406188965
physicochemical_secondary_structure,train,2.8712799549102783
physicochemical_secondary_structure,validate,3.2640411853790283
physicochemical_secondary_structure,test,3.1751344203948975
physicochemical_volume,train,3.036513090133667
physicochemical_volume,validate,3.3158111572265625
physicochemical_volume,test,3.2289910316467285
