Caracteristicas,Etapa,Precision,Perdida(BCE)
seq_to_seq,train,0.9436114430427551,0.4182407855987549
seq_to_seq,validate,0.8772324919700623,0.44963744282722473
seq_to_seq,test,0.9188399910926819,0.3440931737422943
bepler,train,0.954878032207489,0.41406771540641785
bepler,validate,0.870722770690918,0.4549974799156189
bepler,test,0.920717716217041,0.3433798551559448
fasttext,train,0.8733134865760803,0.45478981733322144
fasttext,validate,0.8641295433044434,0.46303561329841614
fasttext,test,0.9531608819961548,0.3310551643371582
fft_alpha_structure,train,0.8276351094245911,0.47684040665626526
fft_alpha_structure,validate,0.7669838070869446,0.500822126865387
fft_alpha_structure,test,0.8329855799674988,0.3767080307006836
fft_betha_structure,train,0.860683798789978,0.46238115429878235
fft_betha_structure,validate,0.5605908632278442,0.5782253742218018
fft_betha_structure,test,0.5661380887031555,0.4780794382095337
fft_energetic,train,0.8515036106109619,0.4649529457092285
fft_energetic,validate,0.7681522369384766,0.5002579689025879
fft_energetic,test,0.822866678237915,0.3805520236492157
fft_hydropathy,train,0.860322117805481,0.45979857444763184
fft_hydropathy,validate,0.785344660282135,0.49436837434768677
fft_hydropathy,test,0.8535364270210266,0.36890101432800293
fft_hydrophobicity,train,0.8199015259742737,0.4825383126735687
fft_hydrophobicity,validate,0.7190786004066467,0.5135271549224854
fft_hydrophobicity,test,0.7262674570083618,0.4172486662864685
fft_index,train,0.8658024072647095,0.461906760931015
fft_index,validate,0.8012018203735352,0.5076116919517517
fft_index,test,0.9777801036834717,0.3217027187347412
fft_secondary_structure,train,0.8150054216384888,0.4863429665565491
fft_secondary_structure,validate,0.7125688791275024,0.515258252620697
fft_secondary_structure,test,0.7110369205474854,0.4230344891548157
fft_volume,train,0.8282749652862549,0.47966471314430237
fft_volume,validate,0.7514605522155762,0.5073607563972473
fft_volume,test,0.8083663582801819,0.386060506105423
glove,train,0.897627055644989,0.4452527165412903
glove,validate,0.8723084330558777,0.46101126074790955
glove,test,0.9674525260925293,0.3256259858608246
oneshot,train,0.9164324998855591,0.4333840012550354
oneshot,validate,0.8638791441917419,0.4685240387916565
oneshot,test,0.9739202857017517,0.32316896319389343
physicochemical_alpha_structure,train,0.8914512991905212,0.4421856701374054
physicochemical_alpha_structure,validate,0.7759138941764832,0.49195626378059387
physicochemical_alpha_structure,test,0.8219277858734131,0.38090866804122925
physicochemical_betha_structure,train,0.8845522403717041,0.44264790415763855
physicochemical_betha_structure,validate,0.7552996277809143,0.4981232285499573
physicochemical_betha_structure,test,0.782808244228363,0.3957696259021759
physicochemical_energetic,train,0.8954293727874756,0.4388967752456665
physicochemical_energetic,validate,0.7791687250137329,0.4899980127811432
physicochemical_energetic,test,0.8322553634643555,0.37698543071746826
physicochemical_hydropathy,train,0.8957353830337524,0.4391079843044281
physicochemical_hydropathy,validate,0.792855978012085,0.4842170476913452
physicochemical_hydropathy,test,0.8253703117370605,0.3796009421348572
physicochemical_hydrophobocity,train,0.8813253045082092,0.44380030035972595
physicochemical_hydrophobocity,validate,0.7495409846305847,0.5019950270652771
physicochemical_hydrophobocity,test,0.7877112627029419,0.3939070403575897
physicochemical_index,train,0.8948173522949219,0.4389688968658447
physicochemical_index,validate,0.7936070561408997,0.48485392332077026
physicochemical_index,test,0.8323596715927124,0.37694576382637024
physicochemical_secondary_structure,train,0.8918129205703735,0.4406849145889282
physicochemical_secondary_structure,validate,0.7810048460960388,0.4878169298171997
physicochemical_secondary_structure,test,0.8000208735466003,0.3892308175563812
physicochemical_volume,train,0.8849139213562012,0.4434995949268341
physicochemical_volume,validate,0.7480387091636658,0.5021848082542419
physicochemical_volume,test,0.7891716957092285,0.3933522403240204
