Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.090564250946045
seq_to_seq,validate,3.654667615890503
seq_to_seq,test,3.6654903888702393
bepler,train,2.446174144744873
bepler,validate,3.3397436141967773
bepler,test,3.3189730644226074
fasttext,train,2.555382013320923
fasttext,validate,10.629661560058594
fasttext,test,10.61082935333252
fft_alpha_structure,train,1.2295868396759033
fft_alpha_structure,validate,3.3378777503967285
fft_alpha_structure,test,3.286010980606079
fft_betha_structure,train,1.3475874662399292
fft_betha_structure,validate,4.267274856567383
fft_betha_structure,test,4.253577709197998
fft_energetic,train,1.073349118232727
fft_energetic,validate,3.432067632675171
fft_energetic,test,3.3875627517700195
fft_hydropathy,train,1.2281016111373901
fft_hydropathy,validate,3.703550100326538
fft_hydropathy,test,3.662132978439331
fft_hydrophobicity,train,1.435120940208435
fft_hydrophobicity,validate,3.580535888671875
fft_hydrophobicity,test,3.5318186283111572
fft_index,train,1.457107663154602
fft_index,validate,4.277227401733398
fft_index,test,4.316248893737793
fft_secondary_structure,train,1.2341587543487549
fft_secondary_structure,validate,7.07287073135376
fft_secondary_structure,test,7.241237163543701
fft_volume,train,1.4628887176513672
fft_volume,validate,4.472560882568359
fft_volume,test,4.4198079109191895
glove,train,2.6978447437286377
glove,validate,3.3143813610076904
glove,test,3.3109097480773926
oneshot,train,2.9364120960235596
oneshot,validate,3.4876348972320557
oneshot,test,3.508394479751587
physicochemical_alpha_structure,train,0.10370893776416779
physicochemical_alpha_structure,validate,3.313730239868164
physicochemical_alpha_structure,test,3.3021812438964844
physicochemical_betha_structure,train,0.14197932183742523
physicochemical_betha_structure,validate,3.2773489952087402
physicochemical_betha_structure,test,3.190300464630127
physicochemical_energetic,train,0.10092668235301971
physicochemical_energetic,validate,3.3558802604675293
physicochemical_energetic,test,3.3011550903320312
physicochemical_hydropathy,train,0.10175413638353348
physicochemical_hydropathy,validate,3.370199203491211
physicochemical_hydropathy,test,3.279453754425049
physicochemical_hydrophobocity,train,0.10295671224594116
physicochemical_hydrophobocity,validate,3.4305758476257324
physicochemical_hydrophobocity,test,3.2960140705108643
physicochemical_index,train,0.14935585856437683
physicochemical_index,validate,3.279374361038208
physicochemical_index,test,3.24672532081604
physicochemical_secondary_structure,train,0.10477198660373688
physicochemical_secondary_structure,validate,3.4428749084472656
physicochemical_secondary_structure,test,3.3478620052337646
physicochemical_volume,train,0.10155060887336731
physicochemical_volume,validate,3.375781536102295
physicochemical_volume,test,3.2628250122070312
