Caracteristicas,Etapa,Precision,Perdida(BCE)
seq_to_seq,train,0.9512337446212769,0.4152582585811615
seq_to_seq,validate,0.8738107085227966,0.4510576128959656
seq_to_seq,test,0.8102962374687195,0.6108182668685913
bepler,train,0.9813336133956909,0.3984774947166443
bepler,validate,0.871223509311676,0.45679211616516113
bepler,test,0.7682557702064514,0.6392815113067627
fasttext,train,0.9706234335899353,0.40341490507125854
fasttext,validate,0.8233183026313782,0.497265100479126
fasttext,test,0.5672855973243713,0.7704342603683472
fft_alpha_structure,train,0.9770773649215698,0.40050873160362244
fft_alpha_structure,validate,0.8177266120910645,0.47942042350769043
fft_alpha_structure,test,0.721729576587677,0.663634717464447
fft_betha_structure,train,0.9806938171386719,0.3985868990421295
fft_betha_structure,validate,0.8157235980033875,0.48054227232933044
fft_betha_structure,test,0.7246505618095398,0.6609086990356445
fft_energetic,train,0.9821403622627258,0.3976965546607971
fft_energetic,validate,0.8095476627349854,0.48377060890197754
fft_energetic,test,0.7091591954231262,0.6699763536453247
fft_hydropathy,train,0.9783848524093628,0.3997179865837097
fft_hydropathy,validate,0.8135536909103394,0.48132649064064026
fft_hydropathy,test,0.7163571715354919,0.665800929069519
fft_hydrophobicity,train,0.980026125907898,0.39886727929115295
fft_hydrophobicity,validate,0.8210649490356445,0.47819238901138306
fft_hydrophobicity,test,0.7203212976455688,0.6631672978401184
fft_index,train,0.9870643019676208,0.3953982889652252
fft_index,validate,0.815473198890686,0.48260214924812317
fft_index,test,0.7068641781806946,0.6723392605781555
fft_secondary_structure,train,0.9821681976318359,0.3977862000465393
fft_secondary_structure,validate,0.819813072681427,0.47944989800453186
fft_secondary_structure,test,0.7243897318840027,0.6612333059310913
fft_volume,train,0.977605938911438,0.40018096566200256
fft_volume,validate,0.8269070386886597,0.4756121337413788
fft_volume,test,0.7267369031906128,0.660705029964447
glove,train,0.968258798122406,0.40570324659347534
glove,validate,0.8676347732543945,0.45787474513053894
glove,test,0.774880051612854,0.6345095634460449
oneshot,train,0.9174339771270752,0.43301692605018616
oneshot,validate,0.8054581880569458,0.48578524589538574
oneshot,test,0.7049864530563354,0.6713860630989075
physicochemical_alpha_structure,train,0.875872790813446,0.44593173265457153
physicochemical_alpha_structure,validate,0.7469537854194641,0.5031383037567139
physicochemical_alpha_structure,test,0.7046734690666199,0.6593756675720215
physicochemical_betha_structure,train,0.8705316185951233,0.44929736852645874
physicochemical_betha_structure,validate,0.7276748418807983,0.5085573792457581
physicochemical_betha_structure,test,0.6941372752189636,0.6635913848876953
physicochemical_energetic,train,0.8770133852958679,0.4458392560482025
physicochemical_energetic,validate,0.7357703447341919,0.5062439441680908
physicochemical_energetic,test,0.6988837718963623,0.6632542014122009
physicochemical_hydropathy,train,0.8790441751480103,0.4452081620693207
physicochemical_hydropathy,validate,0.7396928668022156,0.5055557489395142
physicochemical_hydropathy,test,0.7040475606918335,0.6613051295280457
physicochemical_hydrophobocity,train,0.8796283602714539,0.4449661672115326
physicochemical_hydrophobocity,validate,0.7456184029579163,0.5041267275810242
physicochemical_hydrophobocity,test,0.7011266350746155,0.6623144745826721
physicochemical_index,train,0.8776254057884216,0.44564688205718994
physicochemical_index,validate,0.7299282550811768,0.5093855261802673
physicochemical_index,test,0.6960150003433228,0.6612741351127625
physicochemical_secondary_structure,train,0.879461407661438,0.44520333409309387
physicochemical_secondary_structure,validate,0.7558003664016724,0.500298798084259
physicochemical_secondary_structure,test,0.6989359259605408,0.665164053440094
physicochemical_volume,train,0.8860266208648682,0.44191405177116394
physicochemical_volume,validate,0.759222149848938,0.49693387746810913
physicochemical_volume,test,0.7134883999824524,0.6565031409263611
