Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.5617384910583496
seq_to_seq,validate,3.7097551822662354
seq_to_seq,test,3.6197991371154785
bepler,train,3.04964017868042
bepler,validate,3.714202880859375
bepler,test,3.1442368030548096
fasttext,train,4.768949508666992
fasttext,validate,4.953428268432617
fasttext,test,4.812414169311523
fft_alpha_structure,train,2.900268077850342
fft_alpha_structure,validate,3.7360129356384277
fft_alpha_structure,test,3.184570789337158
fft_betha_structure,train,3.023800849914551
fft_betha_structure,validate,3.61167311668396
fft_betha_structure,test,3.1969075202941895
fft_energetic,train,2.718358278274536
fft_energetic,validate,3.928785562515259
fft_energetic,test,3.0675880908966064
fft_hydropathy,train,2.965348720550537
fft_hydropathy,validate,3.620558977127075
fft_hydropathy,test,3.165876626968384
fft_hydrophobicity,train,3.0399820804595947
fft_hydrophobicity,validate,3.5471572875976562
fft_hydrophobicity,test,3.1844372749328613
fft_index,train,2.620171308517456
fft_index,validate,3.980346202850342
fft_index,test,3.042205810546875
fft_secondary_structure,train,2.9270248413085938
fft_secondary_structure,validate,3.700636148452759
fft_secondary_structure,test,3.1556551456451416
fft_volume,train,2.7240219116210938
fft_volume,validate,3.908658981323242
fft_volume,test,3.076263427734375
glove,train,3.2339835166931152
glove,validate,3.487252712249756
glove,test,3.309687376022339
oneshot,train,3.209322452545166
oneshot,validate,3.5322110652923584
oneshot,test,3.294893980026245
physicochemical_alpha_structure,train,2.9183759689331055
physicochemical_alpha_structure,validate,3.8483517169952393
physicochemical_alpha_structure,test,3.1332337856292725
physicochemical_betha_structure,train,3.2208011150360107
physicochemical_betha_structure,validate,3.475724220275879
physicochemical_betha_structure,test,3.288053274154663
physicochemical_energetic,train,3.0972232818603516
physicochemical_energetic,validate,3.602163553237915
physicochemical_energetic,test,3.2805285453796387
physicochemical_hydropathy,train,3.204563856124878
physicochemical_hydropathy,validate,3.4913651943206787
physicochemical_hydropathy,test,3.3108816146850586
physicochemical_hydrophobocity,train,3.1320648193359375
physicochemical_hydrophobocity,validate,3.610938310623169
physicochemical_hydrophobocity,test,3.313112258911133
physicochemical_index,train,3.0043752193450928
physicochemical_index,validate,3.8874051570892334
physicochemical_index,test,3.2226943969726562
physicochemical_secondary_structure,train,3.113332748413086
physicochemical_secondary_structure,validate,3.5138208866119385
physicochemical_secondary_structure,test,3.231065511703491
physicochemical_volume,train,2.9737443923950195
physicochemical_volume,validate,3.654040813446045
physicochemical_volume,test,3.193159818649292
