Caracteristicas,Etapa,Perdida(MSE)
seq_to_seq,train,3.121162176132202
seq_to_seq,validate,3.285889148712158
seq_to_seq,test,3.2381510734558105
bepler,train,1.9392691850662231
bepler,validate,3.168363571166992
bepler,test,3.094984292984009
fasttext,train,0.8564212918281555
fasttext,validate,5.419395446777344
fasttext,test,5.436946868896484
fft_alpha_structure,train,0.6847704648971558
fft_alpha_structure,validate,3.4138944149017334
fft_alpha_structure,test,3.3523614406585693
fft_betha_structure,train,0.6804457902908325
fft_betha_structure,validate,3.3083205223083496
fft_betha_structure,test,3.2410879135131836
fft_energetic,train,0.8033539652824402
fft_energetic,validate,3.2525582313537598
fft_energetic,test,3.1812682151794434
fft_hydropathy,train,0.8438959121704102
fft_hydropathy,validate,3.229620933532715
fft_hydropathy,test,3.1894633769989014
fft_hydrophobicity,train,0.9618505239486694
fft_hydrophobicity,validate,3.3684208393096924
fft_hydrophobicity,test,3.274202585220337
fft_index,train,1.0561145544052124
fft_index,validate,3.172863006591797
fft_index,test,3.14007306098938
fft_secondary_structure,train,0.7912572026252747
fft_secondary_structure,validate,3.416825294494629
fft_secondary_structure,test,3.3206088542938232
fft_volume,train,0.8135131597518921
fft_volume,validate,3.4761290550231934
fft_volume,test,3.395838499069214
glove,train,1.7952125072479248
glove,validate,3.433211326599121
glove,test,3.4001824855804443
oneshot,train,3.001223564147949
oneshot,validate,4.260194301605225
oneshot,test,4.267411708831787
physicochemical_alpha_structure,train,2.14033842086792
physicochemical_alpha_structure,validate,3.240274429321289
physicochemical_alpha_structure,test,3.1910290718078613
physicochemical_betha_structure,train,2.051170825958252
physicochemical_betha_structure,validate,3.1102402210235596
physicochemical_betha_structure,test,3.1487982273101807
physicochemical_energetic,train,1.939894676208496
physicochemical_energetic,validate,3.169628143310547
physicochemical_energetic,test,3.1031429767608643
physicochemical_hydropathy,train,2.0820248126983643
physicochemical_hydropathy,validate,3.1594126224517822
physicochemical_hydropathy,test,3.1514532566070557
physicochemical_hydrophobocity,train,2.203050374984741
physicochemical_hydrophobocity,validate,3.2205355167388916
physicochemical_hydrophobocity,test,3.1497156620025635
physicochemical_index,train,2.1760311126708984
physicochemical_index,validate,3.1720688343048096
physicochemical_index,test,3.1528711318969727
physicochemical_secondary_structure,train,2.121616840362549
physicochemical_secondary_structure,validate,3.1412193775177
physicochemical_secondary_structure,test,3.138841152191162
physicochemical_volume,train,1.9995170831680298
physicochemical_volume,validate,3.158895969390869
physicochemical_volume,test,3.1203761100769043
